Capacidad Útil Energía [GWh],Volumen Útil Energía [GWh],Fecha,Cero
17167.219598999996,9824.769999999999,2024-11-06 00:00:00,0
17167.219598999996,9888.1765,2024-11-07 00:00:00,0
17167.219598999996,9985.446799999998,2024-11-08 00:00:00,0
17167.219598999996,10118.3973,2024-11-09 00:00:00,0
17167.219598999996,10368.0725,2024-11-10 00:00:00,0
17167.219598999996,10541.788000000002,2024-11-11 00:00:00,0
17167.219598999996,10645.8467,2024-11-12 00:00:00,0
17168.413106999997,10766.6919,2024-11-13 00:00:00,0
17168.413106999997,10906.968799999999,2024-11-14 00:00:00,0
17168.413106999997,11002.959099999996,2024-11-15 00:00:00,0
17168.413106999997,11052.1005,2024-11-16 00:00:00,0
17168.413106999997,11101.768600000003,2024-11-17 00:00:00,0
17168.413106999997,11125.9821,2024-11-18 00:00:00,0
17168.413106999997,11178.291600000002,2024-11-19 00:00:00,0
17168.413106999997,11194.784100000003,2024-11-20 00:00:00,0
17168.413106999997,11295.575499999999,2024-11-21 00:00:00,0
17168.413106999997,11375.990099999999,2024-11-22 00:00:00,0
17168.413106999997,11445.0664,2024-11-23 00:00:00,0
17168.413106999997,11484.8522,2024-11-24 00:00:00,0
17168.413106999997,11465.2938,2024-11-25 00:00:00,0
17168.413106999997,11462.8125,2024-11-26 00:00:00,0
17168.413106999997,11494.745399999998,2024-11-27 00:00:00,0
17168.413106999997,11527.749199999998,2024-11-28 00:00:00,0
17168.413106999997,11527.7797,2024-11-29 00:00:00,0
17168.413106999997,11506.887400000001,2024-11-30 00:00:00,0
17168.413106999997,11490.9905,2024-12-01 00:00:00,0
17168.413106999997,11480.331200000002,2024-12-02 00:00:00,0
17168.413106999997,11457.288099999998,2024-12-03 00:00:00,0
17168.413106999997,11425.5105,2024-12-04 00:00:00,0
17168.413106999997,11407.1929,2024-12-05 00:00:00,0
17168.413106999997,11383.180900000001,2024-12-06 00:00:00,0
17168.413106999997,11364.196,2024-12-07 00:00:00,0
17168.413106999997,11355.0765,2024-12-08 00:00:00,0
17168.413106999997,11331.7936,2024-12-09 00:00:00,0
17168.413106999997,11297.510199999999,2024-12-10 00:00:00,0
17168.413106999997,11271.4871,2024-12-11 00:00:00,0
17168.413106999997,11250.9509,2024-12-12 00:00:00,0
17168.413106999997,11241.857400000003,2024-12-13 00:00:00,0
17168.413106999997,11238.0177,2024-12-14 00:00:00,0
17168.413106999997,11281.676700000002,2024-12-15 00:00:00,0
17168.413106999997,11302.6177,2024-12-16 00:00:00,0
17168.413106999997,11307.0512,2024-12-17 00:00:00,0
17168.413106999997,11289.655900000003,2024-12-18 00:00:00,0
17168.413106999997,11274.335200000001,2024-12-19 00:00:00,0
17168.413106999997,11264.004099999998,2024-12-20 00:00:00,0
17168.413106999997,11307.8527,2024-12-21 00:00:00,0
17168.413106999997,11374.818199999998,2024-12-22 00:00:00,0
17168.413106999997,11453.987399999995,2024-12-23 00:00:00,0
17168.413106999997,11478.588899999999,2024-12-24 00:00:00,0
17168.413106999997,11490.2393,2024-12-25 00:00:00,0
17168.413106999997,11507.797900000003,2024-12-26 00:00:00,0
17168.413106999997,11538.025699999998,2024-12-27 00:00:00,0
17168.413106999997,11556.349299999996,2024-12-28 00:00:00,0
17168.413106999997,11603.8672,2024-12-29 00:00:00,0
17168.413106999997,11645.788700000003,2024-12-30 00:00:00,0
17168.413106999997,11678.4207,2024-12-31 00:00:00,0
17168.413106999997,11712.873899999999,2025-01-01 00:00:00,0
17168.413106999997,11732.523700000002,2025-01-02 00:00:00,0
17168.413106999997,11774.423700000003,2025-01-03 00:00:00,0
17168.413106999997,11836.294000000002,2025-01-04 00:00:00,0
17168.413106999997,11910.3305,2025-01-05 00:00:00,0
17168.413106999997,11937.043999999998,2025-01-06 00:00:00,0
17168.413106999997,11926.864099999999,2025-01-07 00:00:00,0
17168.413106999997,11893.478299999999,2025-01-08 00:00:00,0
17168.413106999997,11847.0693,2025-01-09 00:00:00,0
17168.413106999997,11788.059,2025-01-10 00:00:00,0
17168.413106999997,11741.1073,2025-01-11 00:00:00,0
17168.413106999997,11705.174799999999,2025-01-12 00:00:00,0
17168.413106999997,11629.598699999999,2025-01-13 00:00:00,0
17168.413106999997,11556.88,2025-01-14 00:00:00,0
17168.413106999997,11477.3227,2025-01-15 00:00:00,0
17168.413106999997,11386.778000000002,2025-01-16 00:00:00,0
17168.413106999997,11306.387000000002,2025-01-17 00:00:00,0
17168.413106999997,11245.519400000001,2025-01-18 00:00:00,0
17168.413106999997,11197.350999999999,2025-01-19 00:00:00,0
17168.413106999997,11106.975499999997,2025-01-20 00:00:00,0
17168.413106999997,11018.9494,2025-01-21 00:00:00,0
17168.413106999997,10926.275599999997,2025-01-22 00:00:00,0
17168.413106999997,10841.816000000003,2025-01-23 00:00:00,0
17168.413106999997,10744.4774,2025-01-24 00:00:00,0
17168.413106999997,10660.513899999998,2025-01-25 00:00:00,0
17168.413106999997,10626.458499999997,2025-01-26 00:00:00,0
17168.413106999997,10581.4012,2025-01-27 00:00:00,0
17168.413106999997,10523.6203,2025-01-28 00:00:00,0
17168.413106999997,10471.0202,2025-01-29 00:00:00,0
17168.413106999997,10434.282599999999,2025-01-30 00:00:00,0
17168.413106999997,10367.519700000004,2025-01-31 00:00:00,0
17168.413106999997,10307.7529,2025-02-01 00:00:00,0
17168.413106999997,10250.4146,2025-02-02 00:00:00,0
17168.413106999997,10176.0822,2025-02-03 00:00:00,0
17168.413106999997,10116.340600000001,2025-02-04 00:00:00,0
17168.294485,10045.7374,2025-02-05 00:00:00,0
17168.294485,9969.460999999998,2025-02-06 00:00:00,0
17168.294485,9901.5677,2025-02-07 00:00:00,0
17168.294485,9852.7117,2025-02-08 00:00:00,0
17168.294485,9867.931400000001,2025-02-09 00:00:00,0
17168.294485,9825.4193,2025-02-10 00:00:00,0
17168.294485,9770.2884,2025-02-11 00:00:00,0
17188.955396999998,9730.0291,2025-02-12 00:00:00,0
17188.955396999998,9682.439299999998,2025-02-13 00:00:00,0
17188.955396999998,9664.868,2025-02-14 00:00:00,0
17188.955396999998,9665.041099999999,2025-02-15 00:00:00,0
17188.955396999998,9686.433399999998,2025-02-16 00:00:00,0
17188.955396999998,9700.610999999999,2025-02-17 00:00:00,0
17188.955396999998,9701.1454,2025-02-18 00:00:00,0
17188.955396999998,9659.9992,2025-02-19 00:00:00,0
17188.955396999998,9609.8774,2025-02-20 00:00:00,0
17188.955396999998,9561.815700000001,2025-02-21 00:00:00,0
17188.955396999998,9566.2174,2025-02-22 00:00:00,0
17188.955396999998,9590.138900000002,2025-02-23 00:00:00,0
17188.955396999998,9545.735200000001,2025-02-24 00:00:00,0
17188.955396999998,9541.8957,2025-02-25 00:00:00,0
17188.955396999998,9492.892800000001,2025-02-26 00:00:00,0
17188.955396999998,9449.333800000002,2025-02-27 00:00:00,0
17188.955396999998,9404.960400000002,2025-02-28 00:00:00,0
17188.955396999998,9367.116800000002,2025-03-01 00:00:00,0
17188.955396999998,9327.5123,2025-03-02 00:00:00,0
17188.955396999998,9274.911000000002,2025-03-03 00:00:00,0
17188.955396999998,9261.4932,2025-03-04 00:00:00,0
17188.955396999998,9234.8826,2025-03-05 00:00:00,0
17188.955396999998,9211.8858,2025-03-06 00:00:00,0
17188.955396999998,9185.060300000001,2025-03-07 00:00:00,0
17188.955396999998,9150.154999999999,2025-03-08 00:00:00,0
17188.955396999998,9107.3019,2025-03-09 00:00:00,0
17188.955396999998,9024.762299999999,2025-03-10 00:00:00,0
17188.955396999998,8952.430500000002,2025-03-11 00:00:00,0
17185.800635,8921.7523,2025-03-12 00:00:00,0
17185.800635,8874.651399999999,2025-03-13 00:00:00,0
17185.800635,8822.0272,2025-03-14 00:00:00,0
17185.800635,8763.7524,2025-03-15 00:00:00,0
17185.800635,8761.036699999999,2025-03-16 00:00:00,0
17185.800635,8797.4429,2025-03-17 00:00:00,0
17185.800635,8841.623099999999,2025-03-18 00:00:00,0
17185.800635,8808.7199,2025-03-19 00:00:00,0
17185.800635,8778.2598,2025-03-20 00:00:00,0
17185.800635,8779.7965,2025-03-21 00:00:00,0
17185.800635,8770.0138,2025-03-22 00:00:00,0
17185.800635,8741.192700000001,2025-03-23 00:00:00,0
17185.800635,8697.9012,2025-03-24 00:00:00,0
17185.800635,8622.725199999999,2025-03-25 00:00:00,0
17185.800635,8541.9172,2025-03-26 00:00:00,0
17185.800635,8478.428800000002,2025-03-27 00:00:00,0
17185.800635,8440.3112,2025-03-28 00:00:00,0
17185.800635,8431.4298,2025-03-29 00:00:00,0
17185.800635,8436.688900000001,2025-03-30 00:00:00,0
17185.800635,8463.5456,2025-03-31 00:00:00,0
17185.800635,8490.8228,2025-04-01 00:00:00,0
17185.800635,8496.867,2025-04-02 00:00:00,0
17185.800635,8504.3522,2025-04-03 00:00:00,0
17185.800635,8528.7962,2025-04-04 00:00:00,0
17185.800635,8583.994300000002,2025-04-05 00:00:00,0
17185.800635,8643.3117,2025-04-06 00:00:00,0
17185.800635,8695.1797,2025-04-07 00:00:00,0
17185.800635,8772.9302,2025-04-08 00:00:00,0
17186.489178,8814.709400000002,2025-04-09 00:00:00,0
17186.489178,8981.074299999998,2025-04-10 00:00:00,0
17186.489178,9189.6603,2025-04-11 00:00:00,0
17186.489178,9287.6636,2025-04-12 00:00:00,0
17186.489178,9329.028100000001,2025-04-13 00:00:00,0
17186.489178,9318.318600000002,2025-04-14 00:00:00,0
17186.489178,9278.491399999999,2025-04-15 00:00:00,0
17186.489178,9228.5744,2025-04-16 00:00:00,0
17186.489178,9227.004200000001,2025-04-17 00:00:00,0
17186.489178,9222.2157,2025-04-18 00:00:00,0
17186.489178,9241.8736,2025-04-19 00:00:00,0
17186.489178,9375.0649,2025-04-20 00:00:00,0
17186.489178,9409.650000000001,2025-04-21 00:00:00,0
17186.489178,9413.0703,2025-04-22 00:00:00,0
17186.489178,9441.1065,2025-04-23 00:00:00,0
17186.489178,9518.959400000002,2025-04-24 00:00:00,0
17186.489178,9573.6343,2025-04-25 00:00:00,0
17186.489178,9720.05,2025-04-26 00:00:00,0
17186.489178,9843.2533,2025-04-27 00:00:00,0
17186.489178,10001.7819,2025-04-28 00:00:00,0
17186.489178,10127.261499999999,2025-04-29 00:00:00,0
17181.639564,10310.436700000002,2025-04-30 00:00:00,0
17181.639564,10409.098800000002,2025-05-01 00:00:00,0
17181.639564,10457.177,2025-05-02 00:00:00,0
17181.639564,10550.366599999998,2025-05-03 00:00:00,0
17181.639564,10607.565800000002,2025-05-04 00:00:00,0
17181.639564,10744.8678,2025-05-05 00:00:00,0
17181.639564,10893.909,2025-05-06 00:00:00,0
17181.699188,11039.5177,2025-05-07 00:00:00,0
17181.699188,11109.952700000002,2025-05-08 00:00:00,0
17181.699188,11154.070700000002,2025-05-09 00:00:00,0
17181.699188,11176.9485,2025-05-10 00:00:00,0
17181.699188,11220.656200000001,2025-05-11 00:00:00,0
17181.699188,11221.684899999998,2025-05-12 00:00:00,0
17181.699188,11242.665999999997,2025-05-13 00:00:00,0
17181.699188,11290.653999999999,2025-05-14 00:00:00,0
17181.699188,11378.203500000001,2025-05-15 00:00:00,0
17181.699188,11412.205600000001,2025-05-16 00:00:00,0
17181.699188,11593.487799999999,2025-05-17 00:00:00,0
17181.699188,11731.3475,2025-05-18 00:00:00,0
17181.699188,11899.740899999995,2025-05-19 00:00:00,0
17181.699188,12120.683799999999,2025-05-20 00:00:00,0
17181.699188,12214.538600000002,2025-05-21 00:00:00,0
17181.699188,12324.3082,2025-05-22 00:00:00,0
17181.699188,12322.0828,2025-05-23 00:00:00,0
17181.699188,12371.718100000002,2025-05-24 00:00:00,0
17181.699188,12380.745200000001,2025-05-25 00:00:00,0
17181.699188,12378.753,2025-05-26 00:00:00,0
